Energy Loss (eV)	Intensity
1.630625000000000284e+02	1.284036161101495509e+03
1.631250000000000284e+02	1.283764127414359791e+03
1.631875000000000284e+02	1.283717313251641144e+03
1.632500000000000284e+02	1.283981037308675013e+03
1.633125000000000284e+02	1.284465043185132345e+03
1.633750000000000284e+02	1.284346180575802919e+03
1.634375000000000284e+02	1.283218306031342308e+03
1.635000000000000284e+02	1.282004462850766686e+03
1.635625000000000284e+02	1.282115932261298440e+03
1.636250000000000284e+02	1.283946955425474926e+03
1.636875000000000284e+02	1.285138576803936985e+03
1.637500000000000284e+02	1.284307891126094091e+03
1.638125000000000284e+02	1.282115848168733010e+03
1.638750000000000284e+02	1.280626991344753151e+03
1.639375000000000284e+02	1.279896577396138127e+03
1.640000000000000284e+02	1.279809301339286776e+03
1.640625000000000284e+02	1.280320988406524521e+03
1.641250000000000284e+02	1.281208014098944204e+03
1.641875000000000284e+02	1.281474113474855130e+03
1.642500000000000284e+02	1.280733981413995252e+03
1.643125000000000284e+02	1.279704884042457479e+03
1.643750000000000284e+02	1.279194770271502648e+03
1.644375000000000284e+02	1.279274710686954677e+03
1.645000000000000284e+02	1.279616148505832143e+03
1.645625000000000284e+02	1.280082530270591633e+03
1.646250000000000284e+02	1.280494695699709609e+03
1.646875000000000284e+02	1.280687352701349482e+03
1.647500000000000284e+02	1.280906765101130986e+03
1.648125000000000284e+02	1.281534409894315786e+03
1.648750000000000284e+02	1.282540836985241640e+03
1.649375000000000284e+02	1.283383045758929711e+03
1.650000000000000284e+02	1.283588846802114858e+03
1.650625000000000284e+02	1.283176725491983689e+03
1.651250000000000284e+02	1.283079593818332341e+03
1.651875000000000284e+02	1.284173612609330576e+03
1.652500000000000284e+02	1.286297575892858049e+03
1.653125000000000284e+02	1.288090626047741353e+03
